time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-30 00:00:00+00:00,7,3,0,0
2026-03-31 00:00:00+00:00,5,4,0,0
2026-04-01 00:00:00+00:00,16,7,0,0
2026-04-02 00:00:00+00:00,15,11,1,1
2026-04-03 00:00:00+00:00,10,6,0,0
2026-04-04 00:00:00+00:00,13,8,0,0
2026-04-05 00:00:00+00:00,16,8,0,0
2026-04-06 00:00:00+00:00,4,3,0,0
2026-04-07 00:00:00+00:00,11,6,0,0
2026-04-08 00:00:00+00:00,19,9,2,1
2026-04-09 00:00:00+00:00,16,6,0,0
2026-04-10 00:00:00+00:00,26,9,0,0
2026-04-11 00:00:00+00:00,33,11,0,0
2026-04-12 00:00:00+00:00,39,12,0,0
