time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,25,9,0,0
2026-06-14 00:00:00+00:00,35,10,0,0
2026-06-15 00:00:00+00:00,35,13,0,0
2026-06-16 00:00:00+00:00,19,4,0,0
2026-06-17 00:00:00+00:00,7,2,0,0
2026-06-18 00:00:00+00:00,13,3,0,0
2026-06-19 00:00:00+00:00,42,12,0,0
2026-06-20 00:00:00+00:00,33,8,0,0
2026-06-21 00:00:00+00:00,41,12,0,0
2026-06-22 00:00:00+00:00,38,11,0,0
2026-06-23 00:00:00+00:00,24,10,0,0
2026-06-24 00:00:00+00:00,39,9,0,0
2026-06-25 00:00:00+00:00,36,11,0,0
2026-06-26 00:00:00+00:00,25,11,0,0
